Time,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
0.0,301,305,318,287,308,323,300,305,332,349,337,308,328,283,296,320
0.01,342,281,315,323,310,339,313,291,317,291,304,334,312,314,285,329
0.02,348,293,274,312,318,352,301,338,288,331,297,342,291,298,313,304
0.03,335,316,310,337,283,304,302,331,285,307,330,335,343,306,273,303
0.04,262,303,289,320,286,324,335,344,309,325,336,301,311,335,294,326
0.049999997,279,300,327,288,293,313,326,322,302,285,356,344,309,317,332,307
0.06,276,328,321,304,293,341,306,284,297,329,304,312,314,321,338,332
0.07,324,329,304,291,320,331,304,309,329,299,298,315,300,321,292,334
0.08,269,275,298,327,322,343,291,294,288,296,346,334,330,322,312,353
0.089999996,248,311,303,296,309,349,272,346,296,313,322,355,290,339,296,355
0.099999994,274,311,291,301,311,296,322,327,293,280,327,368,287,359,328,325
0.11,267,293,286,292,333,328,254,287,295,304,360,380,298,350,311,362
0.12,266,278,343,317,318,335,302,298,302,283,344,332,292,329,312,349
0.13,290,294,304,303,305,431,272,301,273,276,384,350,265,324,295,333
0.14,275,256,296,287,320,390,289,302,288,310,393,349,269,362,307,307
0.14999999,266,260,310,264,297,442,283,293,284,324,379,362,280,359,302,295
0.16,257,274,341,281,343,381,283,304,253,271,405,362,237,345,317,346
0.17,249,276,304,262,293,395,295,286,268,298,395,377,235,385,326,356
0.17999999,232,262,308,264,327,426,287,310,228,264,404,388,238,367,323,372
0.19,239,253,349,245,310,421,260,332,242,285,436,397,235,344,316,336
0.19999999,248,241,321,227,331,467,269,285,268,271,440,400,247,375,280,330
0.21,237,228,322,249,302,469,276,302,253,279,410,365,221,414,326,347
0.22,259,224,312,217,346,449,300,278,219,277,462,393,246,403,293,322
0.22999999,221,245,357,213,334,463,299,311,237,236,454,406,241,373,262,348
0.24,221,215,335,235,324,446,279,276,241,281,471,486,212,374,257,347
0.25,222,231,353,200,325,474,265,283,219,267,459,423,254,385,282,358
0.26,249,225,347,182,338,472,294,294,195,270,514,423,204,404,255,334
0.26999998,249,207,354,184,360,502,316,247,226,294,458,373,181,410,298,341
0.28,237,207,329,193,329,487,306,280,202,297,501,409,181,436,306,300
0.29,195,192,315,180,344,503,297,275,208,280,516,439,191,392,287,386
0.29999998,261,190,347,180,360,466,263,265,196,295,481,426,196,429,282,363
0.31,198,213,343,180,334,529,290,252,213,298,509,439,139,469,249,345
0.32,225,160,313,164,376,511,318,252,207,287,502,488,155,434,267,341
0.32999998,211,174,382,165,344,522,354,255,189,301,474,422,140,448,272,347
0.34,201,187,328,157,370,489,337,281,197,296,491,447,172,474,258,315
0.35,213,179,366,153,381,511,359,264,169,319,473,440,138,435,248,352
0.35999998,191,160,348,150,334,493,357,264,167,352,469,493,143,481,242,356
0.37,198,148,355,139,362,500,378,248,157,326,493,438,146,522,226,364
0.38,185,165,351,136,352,489,419,268,174,363,484,464,142,447,239,322
0.39,184,153,364,149,352,511,380,216,158,372,514,444,126,518,222,337
0.39999998,191,133,339,118,351,500,408,219,154,364,464,556,145,482,235,341
0.41,178,140,331,120,375,478,430,218,141,411,470,513,138,483,236,338
0.42,172,144,372,136,340,496,408,238,138,397,472,483,126,516,223,339
0.42999998,196,159,352,124,357,479,442,204,123,405,449,507,132,541,216,314
0.44,184,126,353,126,357,470,477,218,137,404,472,476,132,512,228,328
0.45,163,118,398,122,389,434,472,194,134,436,461,485,105,546,209,334
0.45999998,166,91,383,135,381,433,513,197,120,460,442,518,118,516,213,314
0.47,158,116,366,122,347,437,531,194,120,483,436,506,141,515,216,312
0.48,183,123,362,100,396,414,481,186,117,491,462,538,102,520,207,318
0.48999998,159,106,401,110,369,443,495,207,99,498,437,536,130,500,215,295
0.5,185,89,391,115,369,450,529,181,97,482,433,543,100,563,188,285
0.51,171,117,337,102,384,444,540,208,91,539,423,505,128,498,200,313
0.52,148,119,386,126,396,423,579,211,113,537,390,494,112,489,200,277
0.53,134,109,361,117,329,426,562,181,91,561,442,573,93,543,193,285
0.53999996,145,99,364,104,361,422,578,194,97,549,440,567,105,531,173,271
0.55,130,79,347,109,369,405,644,181,106,566,437,538,91,496,191,311
0.56,166,88,383,108,333,396,578,199,72,581,409,537,110,554,196,290
0.57,139,85,364,108,322,428,641,194,92,573,440,496,112,534,179,293
0.58,156,77,364,108,346,427,612,176,97,608,409,548,114,521,174,263
0.59,146,87,363,122,344,441,591,202,78,578,428,523,90,523,201,283
0.59999996,141,79,336,114,343,394,663,176,86,621,419,514,112,533,201,268
0.61,153,82,371,105,321,394,622,183,80,682,404,543,98,527,181,254
0.62,145,78,338,116,325,451,624,203,70,641,392,518,124,524,179,272
0.63,138,79,339,106,355,404,618,196,93,598,390,570,123,566,183,242
0.64,149,72,325,105,302,413,666,192,76,646,395,576,118,541,182,242
0.65,138,61,327,110,354,433,708,180,69,641,407,519,120,531,186,216
0.65999997,131,71,328,111,326,476,648,159,55,651,468,491,127,558,165,235
0.66999996,121,87,352,123,344,432,678,176,69,648,443,469,120,526,177,235
0.68,128,76,298,134,328,459,660,173,69,618,450,546,118,551,171,221
0.69,133,63,299,119,333,459,660,163,64,609,463,586,111,532,186,220
0.7,122,73,303,111,313,494,700,175,77,641,440,507,111,558,168,207
0.71,127,73,316,125,283,504,638,159,54,633,472,510,135,560,187,224
0.71999997,139,68,305,141,295,471,650,177,73,645,515,521,127,500,167,206
0.72999996,100,67,273,133,289,500,622,179,62,682,538,494,146,528,170,217
0.74,122,60,321,149,284,541,615,177,56,633,543,537,123,487,179,173
0.75,123,61,273,161,269,558,633,189,60,646,521,505,139,499,180,183
0.76,100,59,265,140,306,553,587,202,65,597,572,505,164,486,207,192
0.77,108,57,295,136,247,561,627,175,69,613,532,521,156,477,214,212
0.78,98,56,266,141,267,545,601,203,54,646,585,516,152,495,200,175
0.78999996,110,75,261,152,276,621,625,175,62,628,588,458,137,496,170,166
0.79999995,111,62,243,166,272,601,597,212,62,610,610,482,150,478,175,169
0.81,107,75,257,161,252,632,538,164,72,636,582,498,166,513,171,176
0.82,106,70,233,158,288,612,541,209,63,630,651,443,158,446,220,172
0.83,113,81,203,173,235,657,582,181,75,596,625,476,182,453,199,169
0.84,99,63,232,160,240,674,573,188,72,633,623,480,173,435,203,152
0.84999996,108,65,211,187,262,684,490,169,54,648,678,471,184,472,182,135
0.85999995,114,69,203,182,195,692,523,187,80,648,697,440,200,447,207,116
0.87,89,86,212,189,227,676,530,207,74,621,687,442,191,414,224,131
0.88,106,74,213,196,198,700,502,215,69,617,723,431,180,440,205,131
0.89,108,72,216,217,192,703,539,205,59,585,731,444,224,394,190,121
0.9,109,73,195,215,191,731,505,211,68,618,701,431,215,427,205,105
0.90999997,97,87,189,223,199,709,504,195,72,588,777,394,253,403,202,108
0.91999996,103,86,188,231,175,719,483,209,88,599,738,442,227,381,215,116
0.93,101,90,167,250,185,746,522,201,85,580,736,399,238,392,196,112
0.94,103,89,168,264,179,727,516,205,73,602,734,389,269,385,197,100
0.95,97,79,139,278,173,814,518,185,76,616,728,365,253,357,214,108
0.96,102,79,132,286,142,801,478,189,83,592,771,350,287,361,247,100
0.96999997,112,84,143,289,141,741,484,201,84,602,803,351,306,387,195,77
0.97999996,114,70,145,274,138,805,480,224,79,592,784,350,295,343,223,84
0.98999995,98,76,150,299,144,747,522,196,87,568,785,379,314,364,196,75
1.0,104,95,129,316,132,768,489,213,90,593,774,338,326,334,225,74
